TreeID,SpeciesName,DBH,ReplacementValue,CarbonStorage,GrossCarbonSequestration,AvoidedRunoff,PollutionRemoval,TotalAnnualBenefits
723,Pyrus calleryana,16,656.57,59.2,2.8,0,28,0.67
724,Pyrus calleryana,15,616.56,50.6,2.6,0,15.1,0.53
725,Pyrus calleryana,15,616.56,50.6,2.6,0,16.3,0.54
726,Pyrus calleryana,12,512,29.3,1.9,0,18.2,0.44
727,Liriodendron tulipifera,17,746.58,51.7,3,0,39.2,0.78
728,Liriodendron tulipifera,16,695.56,44.7,2.7,0,29.6,0.66
729,Liriodendron tulipifera,18,800.68,59.3,3.2,0.1,40,0.82
730,Liriodendron tulipifera,18,800.68,59.3,3.2,0,35.4,0.79
731,Liriodendron tulipifera,18,800.68,59.3,3.2,0,33.1,0.77
732,Acer campestre,18,791.58,90.3,2.4,0.2,167.5,1.64
733,Liriodendron tulipifera,13,561.06,27.1,2.1,0,18.6,0.47
736,Pinus nigra,40,2416.09,271,4.6,0.5,371.9,3.55
739,Liriodendron tulipifera,20,918.18,76.5,3.8,0.1,56.2,1.03
746,Acer,14,598.97,93.9,4.6,0.1,89.7,1.41
747,Juglans,22,901.53,137,4.7,0.3,220.7,2.42
748,Acacia,40,2391.39,160.3,1.3,0.6,507.8,4.03
911,Crataegus,9,225.72,12.6,1.1,0,12.3,0.27
912,Crataegus,9,225.72,12.6,1.1,0,16,0.29
913,Crataegus,10,278.67,16.3,1.3,0,16.6,0.33
914,Crataegus,10,278.67,16.3,1.3,0,16.6,0.33
915,Crataegus,10,278.67,16.3,1.3,0,13.5,0.3
916,Crataegus,10,278.67,16.3,1.3,0,10.4,0.28
917,Crataegus,9,225.72,12.6,1.1,0,5.5,0.21
918,Crataegus,10,278.67,16.3,1.3,0,7.4,0.26
920,Crataegus,8,178.35,9.4,0.9,0,4.5,0.18
921,Crataegus,8,178.35,9.4,0.9,0,4,0.18
922,Crataegus,8,178.35,9.4,0.9,0,6.8,0.2
923,Crataegus,8,178.35,9.4,0.9,0,4.5,0.18
924,Crataegus,8,178.35,9.4,0.9,0,3.7,0.17
925,Crataegus,8,178.35,9.4,0.9,0,4.5,0.18
926,Crataegus,8,178.35,9.4,0.9,0,4.2,0.18
927,Crataegus,8,178.35,9.4,0.9,0,4.5,0.18
928,Crataegus,8,178.35,9.4,0.9,0,4.5,0.18
929,Koelreuteria paniculata,18,744.35,86.7,2.5,0.1,44.4,0.74
930,Koelreuteria paniculata,16,656.57,64.1,2.1,0,32,0.58
931,Celtis australis,15,625.04,17.5,0.8,0,28.7,0.35
932,Celtis australis,14,585.59,15.6,0.8,0,21.6,0.29
933,Celtis australis,14,585.59,15.6,0.8,0,21.6,0.29
934,Celtis australis,14,585.59,15.6,0.8,0,28,0.34
935,Celtis australis,14,585.59,15.6,0.8,0,28,0.34
936,Celtis australis,13,548.86,13.7,0.7,0,21,0.28
938,Pinus,46,2857.8,855.8,13.1,0.8,604.9,6.66
946,Tilia cordata,15,662.69,39,1.9,0.1,94.3,1.02
947,Tilia cordata,15,662.69,39,1.9,0.1,88.2,0.97
948,Tilia cordata,24,1248.74,118.3,3.6,0.3,223.7,2.27
949,Abies nordmanniana,32,1600.85,509.1,6.9,0.1,110.2,1.94
962,Celtis australis,38,2283.44,86.1,1.6,0.7,581.6,4.64
963,Celtis australis,32,1712.05,64.1,1.4,0.6,448.3,3.6
964,Celtis australis,32,1712.05,64.1,1.4,0.6,448.3,3.6
973,Prunus cerasifera,32,1370.41,361.2,7.8,0.3,228.3,2.97
985,Cupressus,16,629.75,185.8,7,0,6.5,1.18
986,Cupressus,34,1801.79,829.6,15.1,0,24,2.61
987,Cupressus,44,2817.55,1390,19.6,0,22.9,3.32
988,Sorbus,8,178.35,18.1,1.8,0,3.1,0.3
989,Sorbus aucuparia,8,178.35,11.4,1.5,0,3.2,0.26
1008,Platanus x hispanica,40,2464.81,593,11.3,0.5,414,4.94
1018,Corylus colurna,21,895.37,186,6.1,0.2,158.7,2.18
1019,Corylus colurna,28,1338.11,354.3,8.9,0.5,380.8,4.3
1038,Prunus serrulata,13,524.45,48,2.8,0,16.5,0.58
1039,Prunus serrulata,10,213.61,25.3,1.9,0,5.6,0.35
1042,Prunus serrulata,17,643.18,92.2,4.1,0,10.6,0.74
1043,Prunus serrulata,21,793.57,154.3,5.6,0,16,1.02
1049,Pyrus calleryana,12,512,29.3,1.9,0,16.1,0.42
1050,Pyrus calleryana,16,656.57,59.2,2.8,0,33.2,0.7
1051,Pyrus calleryana,9,225.72,14.5,1.2,0,10.9,0.28
1052,Pyrus calleryana,14,579.13,42.7,2.3,0,30.5,0.61
1053,Pyrus calleryana,13,544.27,35.6,2.1,0,18.8,0.48
1054,Pyrus calleryana,15,616.56,50.6,2.6,0,36.7,0.69
1055,Pyrus calleryana,16,656.57,59.2,2.8,0,38.7,0.75
1056,Pyrus calleryana,12,512,29.3,1.9,0,31.9,0.54
1057,Pyrus calleryana,12,512,29.3,1.9,0,26.1,0.5
1058,Pyrus calleryana,14,579.13,42.7,2.3,0,27.6,0.58
1059,Pyrus calleryana,14,579.13,42.7,2.3,0,27.6,0.58
1060,Pyrus calleryana,12,512,29.3,1.9,0,26.1,0.5
1061,Pyrus calleryana,17,699.17,68.7,3.1,0,35,0.76
1062,Pyrus calleryana,16,656.57,59.2,2.8,0,20.3,0.61
1063,Pyrus calleryana,9,225.72,14.5,1.2,0,5.9,0.24
1064,Pyrus calleryana,13,544.27,35.6,2.1,0,31.8,0.58
