Tree ID,Species Name,DBH,Replacement Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits"
,,(cm),(€),(kg),(€),(kg/yr),(€/yr),(m³/yr),(€/yr),(kg/yr),(€/yr),(g/yr),(€/yr),(€/yr),(€/yr)
100,Fagus,8.00,240.67,25.40,4.08,2.40,0.38,0.00,0.01,N/A,N/A,5.50,0.03,N/A,0.42
101,Fagus,8.00,240.67,25.40,4.08,2.40,0.38,0.00,0.01,N/A,N/A,4.20,0.02,N/A,0.41
102,Fagus,8.00,240.67,25.40,4.08,2.40,0.38,0.00,0.01,N/A,N/A,5.50,0.03,N/A,0.42
103,Fagus,8.00,240.67,25.40,4.08,2.40,0.38,0.00,0.01,N/A,N/A,6.20,0.03,N/A,0.43
104,Fagus,7.00,184.26,18.60,2.98,2.00,0.32,0.00,0.01,N/A,N/A,5.30,0.03,N/A,0.36
107,Acer campestre,6.00,116.95,7.00,1.13,0.60,0.09,0.00,0.02,N/A,N/A,7.50,0.04,N/A,0.15
108,Acer opalus,6.00,110.08,13.50,2.17,1.60,0.25,0.00,0.02,N/A,N/A,7.50,0.04,N/A,0.31
114,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.04,N/A,N/A,15.70,0.08,N/A,0.25
115,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.02,N/A,N/A,10.40,0.05,N/A,0.26
116,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.01,N/A,N/A,4.40,0.02,N/A,0.17
117,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.02,N/A,N/A,9.30,0.05,N/A,0.20
118,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.05,N/A,N/A,19.30,0.10,N/A,0.35
119,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.05,N/A,N/A,19.30,0.10,N/A,0.35
120,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.04,N/A,N/A,18.20,0.09,N/A,0.34
121,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.04,N/A,N/A,16.70,0.09,N/A,0.26
122,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.00,N/A,N/A,2.10,0.01,N/A,0.15
123,Sophora japonica,9.90,271.47,13.20,2.12,0.90,0.15,0.00,0.01,N/A,N/A,6.00,0.03,N/A,0.19
124,Sophora japonica,9.90,271.47,13.20,2.12,0.90,0.15,0.00,0.01,N/A,N/A,6.00,0.03,N/A,0.19
135,Tilia cordata,7.00,176.63,6.50,1.04,0.70,0.11,0.00,0.02,N/A,N/A,6.80,0.04,N/A,0.16
137,Tilia cordata,7.00,176.63,6.50,1.04,0.70,0.11,0.00,0.02,N/A,N/A,8.40,0.04,N/A,0.17
138,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.05,N/A,N/A,19.30,0.10,N/A,0.35
139,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.04,N/A,N/A,16.00,0.08,N/A,0.32
140,Tilia cordata,9.00,291.98,11.70,1.88,1.00,0.16,0.00,0.03,N/A,N/A,13.00,0.07,N/A,0.25
141,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.03,N/A,N/A,12.00,0.06,N/A,0.27
142,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.03,N/A,N/A,12.00,0.06,N/A,0.27
143,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.03,N/A,N/A,11.60,0.06,N/A,0.27
144,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.03,N/A,N/A,13.50,0.07,N/A,0.28
145,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.03,N/A,N/A,14.50,0.07,N/A,0.31
146,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.03,N/A,N/A,11.20,0.06,N/A,0.29
147,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.03,N/A,N/A,11.20,0.06,N/A,0.29
148,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.05,N/A,N/A,19.30,0.10,N/A,0.35
149,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.04,N/A,N/A,16.00,0.08,N/A,0.32
150,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.04,N/A,N/A,14.80,0.08,N/A,0.31
151,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.03,N/A,N/A,11.20,0.06,N/A,0.29
152,Tilia cordata,11.00,489.05,18.80,3.02,1.30,0.20,0.00,0.03,N/A,N/A,12.80,0.07,N/A,0.30
170,Sorbus,18.00,744.35,131.70,21.16,5.60,0.90,0.00,0.06,N/A,N/A,26.70,0.14,N/A,1.10
171,Sorbus,18.00,744.35,131.70,21.16,5.60,0.90,0.00,0.03,N/A,N/A,13.00,0.07,N/A,0.99
172,Sorbus,18.00,744.35,131.70,21.16,5.60,0.90,0.00,0.06,N/A,N/A,26.70,0.14,N/A,1.10
173,Sorbus,18.00,744.35,131.70,21.16,5.60,0.90,0.00,0.06,N/A,N/A,26.70,0.14,N/A,1.10
174,Sorbus,12.00,512.00,48.90,7.85,3.10,0.50,0.00,0.03,N/A,N/A,12.70,0.07,N/A,0.60
180,Tilia cordata,13.00,569.19,27.90,4.48,1.60,0.25,0.00,0.08,N/A,N/A,34.90,0.18,N/A,0.52
181,Tilia cordata,13.00,569.19,27.90,4.48,1.60,0.25,0.00,0.09,N/A,N/A,37.00,0.19,N/A,0.53
182,Tilia cordata,19.00,889.77,68.20,10.95,2.60,0.42,0.10,0.16,N/A,N/A,68.40,0.35,N/A,0.94
183,Cupressus,14.00,551.62,143.60,23.07,6.10,0.98,0.00,0.01,N/A,N/A,6.20,0.03,N/A,1.03
184,Cupressus,14.00,551.62,143.50,23.05,6.10,0.98,0.00,0.01,N/A,N/A,5.10,0.03,N/A,1.02
185,Cupressus,14.00,551.62,143.50,23.06,6.10,0.98,0.00,0.01,N/A,N/A,5.50,0.03,N/A,1.02
186,Carpinus betulus,11.00,482.32,32.20,5.17,1.90,0.30,0.00,0.03,N/A,N/A,11.60,0.06,N/A,0.39
187,Carpinus betulus,11.00,482.32,32.20,5.17,1.90,0.30,0.00,0.02,N/A,N/A,8.20,0.04,N/A,0.36
188,Carpinus betulus,11.00,482.32,32.20,5.17,1.90,0.30,0.00,0.09,N/A,N/A,36.80,0.19,N/A,0.58
189,Carpinus betulus,10.00,278.67,26.50,4.26,1.70,0.27,0.00,0.05,N/A,N/A,20.20,0.10,N/A,0.42
307,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.08,N/A,N/A,31.80,0.16,N/A,0.42
308,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.08,N/A,N/A,31.80,0.16,N/A,0.42
309,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.07,N/A,N/A,28.20,0.14,N/A,0.39
310,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.08,N/A,N/A,31.80,0.16,N/A,0.42
311,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.07,N/A,N/A,28.10,0.14,N/A,0.39
312,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.08,N/A,N/A,31.80,0.16,N/A,0.42
330,Prunus avium,35.00,1569.28,449.30,72.18,7.10,1.14,0.50,1.02,N/A,N/A,427.30,2.20,N/A,4.37
331,Fraxinus,16.00,660.92,92.30,14.82,4.00,0.64,0.10,0.22,N/A,N/A,92.00,0.47,N/A,1.33
332,Fraxinus,13.00,546.14,55.40,8.90,3.00,0.48,0.00,0.07,N/A,N/A,31.20,0.16,N/A,0.71
333,Fraxinus,13.00,546.14,55.40,8.90,3.00,0.48,0.00,0.06,N/A,N/A,25.50,0.13,N/A,0.67
396,Prunus serrulata,16.00,610.53,79.60,12.78,3.80,0.61,0.00,0.03,N/A,N/A,14.50,0.07,N/A,0.72
397,Prunus serrulata,25.00,975.63,235.90,37.90,7.10,1.15,0.10,0.12,N/A,N/A,48.50,0.25,N/A,1.51
398,Prunus serrulata,22.00,836.12,172.80,27.76,5.90,0.96,0.10,0.13,N/A,N/A,52.80,0.27,N/A,1.35
415,Parrotia persica,11.00,482.32,25.40,4.08,1.20,0.19,0.00,0.03,N/A,N/A,12.10,0.06,N/A,0.29
416,Parrotia persica,18.00,744.35,83.40,13.40,2.40,0.39,0.10,0.15,N/A,N/A,62.00,0.32,N/A,0.86
417,Parrotia persica,18.00,744.35,83.40,13.40,2.40,0.39,0.10,0.15,N/A,N/A,62.00,0.32,N/A,0.86
418,Parrotia persica,18.00,744.35,83.40,13.40,2.40,0.39,0.10,0.12,N/A,N/A,52.00,0.27,N/A,0.78
419,Parrotia persica,11.00,482.32,25.40,4.08,1.20,0.19,0.00,0.07,N/A,N/A,30.60,0.16,N/A,0.42
420,Parrotia persica,15.00,616.56,53.60,8.61,1.90,0.30,0.10,0.10,N/A,N/A,42.40,0.22,N/A,0.62
422,Parrotia persica,15.00,616.56,53.60,8.61,1.90,0.30,0.10,0.13,N/A,N/A,55.10,0.28,N/A,0.72
423,Parrotia persica,18.00,744.35,83.40,13.40,2.40,0.39,0.10,0.11,N/A,N/A,47.70,0.25,N/A,0.75
424,Parrotia persica,11.00,482.32,25.40,4.08,1.20,0.19,0.00,0.07,N/A,N/A,30.60,0.16,N/A,0.42
546,Parrotia persica,18.00,744.35,83.40,13.40,2.40,0.39,0.10,0.21,N/A,N/A,89.50,0.46,N/A,1.07
616,Carpinus betulus,11.00,482.32,32.20,5.17,1.90,0.30,0.00,0.05,N/A,N/A,20.20,0.10,N/A,0.45
617,Cupressus,19.00,766.49,260.10,41.79,8.40,1.34,0.00,0.02,N/A,N/A,6.50,0.03,N/A,1.39
618,Cupressus,19.00,766.49,260.10,41.79,8.40,1.34,0.00,0.02,N/A,N/A,6.90,0.04,N/A,1.40
619,Cupressus,19.00,766.49,260.10,41.79,8.40,1.34,0.00,0.02,N/A,N/A,6.90,0.04,N/A,1.40
620,Cupressus,19.00,766.49,260.10,41.79,8.40,1.34,0.00,0.02,N/A,N/A,6.90,0.04,N/A,1.40
621,Cupressus,19.00,766.49,260.00,41.77,8.40,1.34,0.00,0.01,N/A,N/A,5.30,0.03,N/A,1.38
622,Cupressus,19.00,766.49,260.00,41.78,8.40,1.34,0.00,0.01,N/A,N/A,5.70,0.03,N/A,1.39
623,Carpinus betulus,11.00,482.32,32.20,5.17,1.90,0.30,0.00,0.04,N/A,N/A,17.80,0.09,N/A,0.44
624,Carpinus betulus,12.00,512.00,38.50,6.19,2.10,0.34,0.00,0.08,N/A,N/A,32.60,0.17,N/A,0.58
625,Prunus avium,12.00,499.72,33.10,5.33,2.10,0.34,0.00,0.05,N/A,N/A,20.80,0.11,N/A,0.50
626,Ostrya carpinifolia,20.00,842.45,121.70,19.56,4.60,0.74,0.10,0.16,N/A,N/A,65.00,0.33,N/A,1.23
