Tree ID,Species Name,DBH,Replacement Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits"
,,(cm),(€),(kg),(€),(kg/yr),(€/yr),(m³/yr),(€/yr),(kg/yr),(€/yr),(g/yr),(€/yr),(€/yr),(€/yr)
5093,Tilia cordata,8.00,230.70,8.90,1.42,0.80,0.13,0.00,0.01,N/A,N/A,5.10,0.03,N/A,0.17
5094,Fagus sylvatica,5.00,92.34,4.80,0.77,0.50,0.08,0.00,0.01,N/A,N/A,2.90,0.01,N/A,0.10
5095,Fagus sylvatica,3.00,67.70,1.30,0.21,0.30,0.04,0.00,0.00,N/A,N/A,0.70,0.00,N/A,0.05
5096,Cupressus sempervirens,9.00,219.05,28.10,4.52,1.70,0.27,0.00,0.01,N/A,N/A,5.00,0.03,N/A,0.31
5097,Cupressus sempervirens,7.00,132.51,18.20,2.93,1.30,0.21,0.00,0.00,N/A,N/A,1.20,0.01,N/A,0.22
5099,Cupressus sempervirens,8.00,173.08,22.90,3.68,1.50,0.24,0.00,0.01,N/A,N/A,3.40,0.02,N/A,0.27
5100,Cupressus sempervirens,8.00,173.08,22.90,3.69,1.50,0.24,0.00,0.01,N/A,N/A,3.90,0.02,N/A,0.27
5101,Fagus sylvatica,4.00,67.70,2.80,0.45,0.40,0.06,0.00,0.00,N/A,N/A,0.80,0.00,N/A,0.07
5102,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.04,N/A,N/A,18.60,0.10,N/A,0.32
5103,Tilia cordata,10.00,360.47,15.00,2.41,1.10,0.18,0.00,0.02,N/A,N/A,8.90,0.05,N/A,0.25
5105,Cupressus sempervirens,9.00,219.05,28.10,4.52,1.70,0.27,0.00,0.01,N/A,N/A,5.00,0.03,N/A,0.31
5106,Quercus robur,4.00,64.43,7.20,1.15,1.00,0.17,0.00,0.00,N/A,N/A,1.50,0.01,N/A,0.18
5107,Quercus robur,7.00,172.27,17.40,2.80,1.80,0.29,0.00,0.01,N/A,N/A,3.10,0.02,N/A,0.31
5108,Quercus robur,6.00,126.56,13.40,2.15,1.50,0.25,0.00,0.01,N/A,N/A,2.60,0.01,N/A,0.27
5109,Quercus robur,6.00,126.56,13.40,2.15,1.50,0.25,0.00,0.01,N/A,N/A,3.00,0.02,N/A,0.27
5110,Quercus robur,6.00,126.56,13.40,2.15,1.50,0.25,0.00,0.01,N/A,N/A,3.00,0.02,N/A,0.27
5111,Quercus robur,6.00,126.56,13.40,2.15,1.50,0.25,0.00,0.01,N/A,N/A,3.00,0.02,N/A,0.27
5112,Fraxinus excelsior,10.00,284.81,16.50,2.65,1.50,0.25,0.00,0.02,N/A,N/A,7.80,0.04,N/A,0.30
5113,Quercus robur,7.00,172.27,17.40,2.80,1.80,0.29,0.00,0.01,N/A,N/A,3.10,0.02,N/A,0.31
5114,Quercus robur,8.00,225.00,22.10,3.55,2.00,0.33,0.00,0.01,N/A,N/A,6.00,0.03,N/A,0.37
5115,Quercus robur,5.00,87.89,10.00,1.60,1.30,0.21,0.00,0.01,N/A,N/A,3.40,0.02,N/A,0.23
5116,Quercus robur,8.00,225.00,22.10,3.55,2.00,0.33,0.00,0.01,N/A,N/A,4.90,0.03,N/A,0.37
5117,Quercus robur,9.00,284.77,27.30,4.39,2.30,0.37,0.00,0.01,N/A,N/A,3.60,0.02,N/A,0.40
5119,Cupressus sempervirens,11.00,453.95,40.30,6.47,2.10,0.34,0.00,0.01,N/A,N/A,5.00,0.03,N/A,0.38
5123,Lagerstroemia indica,5.00,69.67,3.80,0.61,0.60,0.09,0.00,0.00,N/A,N/A,1.80,0.01,N/A,0.11
5125,Lagerstroemia indica,5.00,69.67,3.80,0.61,0.60,0.09,0.00,0.00,N/A,N/A,1.60,0.01,N/A,0.11
5127,Lagerstroemia indica,5.00,69.67,3.80,0.61,0.60,0.09,0.00,0.00,N/A,N/A,1.80,0.01,N/A,0.11
5128,Lagerstroemia indica,5.00,69.67,3.80,0.61,0.60,0.09,0.00,0.00,N/A,N/A,1.90,0.01,N/A,0.11
5129,Lagerstroemia indica,5.00,69.67,3.80,0.61,0.60,0.09,0.00,0.01,N/A,N/A,4.30,0.02,N/A,0.13
5130,Quercus rubra,10.00,333.76,17.50,2.82,1.30,0.22,0.00,0.03,N/A,N/A,11.50,0.06,N/A,0.30
5131,Quercus rubra,13.00,561.06,33.20,5.33,1.90,0.31,0.00,0.07,N/A,N/A,28.90,0.15,N/A,0.53
5132,Quercus rubra,15.00,647.63,47.00,7.55,2.40,0.38,0.00,0.07,N/A,N/A,28.60,0.15,N/A,0.60
5133,Quercus rubra,15.00,647.63,47.00,7.55,2.40,0.38,0.00,0.07,N/A,N/A,30.40,0.16,N/A,0.61
5134,Quercus rubra,20.00,918.18,94.50,15.18,3.60,0.57,0.20,0.38,N/A,N/A,156.90,0.81,N/A,1.76
5135,Quercus rubra,12.00,522.41,27.30,4.39,1.70,0.28,0.00,0.08,N/A,N/A,31.70,0.16,N/A,0.52
5136,Quercus rubra,11.00,486.85,22.10,3.55,1.50,0.25,0.00,0.03,N/A,N/A,14.00,0.07,N/A,0.35
5137,Quercus rubra,16.00,695.56,55.00,8.83,2.60,0.42,0.00,0.06,N/A,N/A,27.00,0.14,N/A,0.62
5138,Quercus rubra,12.00,522.41,27.30,4.39,1.70,0.28,0.00,0.07,N/A,N/A,29.80,0.15,N/A,0.50
5139,Quercus rubra,7.00,163.54,7.40,1.18,0.80,0.13,0.00,0.02,N/A,N/A,7.80,0.04,N/A,0.19
5140,Quercus rubra,18.00,800.68,73.20,11.75,3.10,0.49,0.10,0.15,N/A,N/A,62.30,0.32,N/A,0.96
5141,Quercus rubra,9.00,270.35,13.60,2.18,1.20,0.19,0.00,0.03,N/A,N/A,12.60,0.07,N/A,0.28
5142,Quercus rubra,12.00,522.41,27.30,4.39,1.70,0.28,0.00,0.07,N/A,N/A,28.10,0.14,N/A,0.49
5143,Quercus rubra,11.00,486.85,22.10,3.55,1.50,0.25,0.00,0.04,N/A,N/A,15.90,0.08,N/A,0.37
5144,Quercus rubra,11.00,486.85,22.10,3.55,1.50,0.25,0.00,0.06,N/A,N/A,23.90,0.12,N/A,0.43
5145,Quercus rubra,16.00,695.56,55.00,8.83,2.60,0.42,0.10,0.13,N/A,N/A,53.70,0.28,N/A,0.82
5146,Fraxinus,11.00,482.82,37.10,5.96,2.40,0.38,0.00,0.07,N/A,N/A,29.40,0.15,N/A,0.60
5147,Fraxinus,11.00,482.82,37.10,5.96,2.40,0.38,0.00,0.07,N/A,N/A,29.40,0.15,N/A,0.60
5148,Fraxinus,16.00,660.92,87.40,14.04,3.80,0.62,0.00,0.07,N/A,N/A,29.50,0.15,N/A,0.84
5149,Fraxinus,13.00,546.14,55.40,8.90,3.00,0.48,0.10,0.13,N/A,N/A,53.60,0.28,N/A,0.88
5150,Liriodendron tulipifera,15.00,647.63,38.20,6.14,2.50,0.40,0.00,0.03,N/A,N/A,11.80,0.06,N/A,0.49
5151,Fraxinus,12.00,513.16,43.30,6.96,2.60,0.41,0.00,0.04,N/A,N/A,16.60,0.09,N/A,0.54
5152,Fraxinus,18.00,750.63,113.30,18.20,4.40,0.71,0.10,0.18,N/A,N/A,76.70,0.39,N/A,1.29
5153,Fraxinus,3.00,52.20,2.50,0.40,0.60,0.09,0.00,0.03,N/A,N/A,11.70,0.06,N/A,0.18
5154,Fraxinus,15.00,620.02,75.80,12.18,3.50,0.57,0.00,0.05,N/A,N/A,20.60,0.11,N/A,0.72
5155,Fraxinus,9.00,230.70,23.90,3.85,1.90,0.30,0.00,0.02,N/A,N/A,9.00,0.05,N/A,0.37
5156,Fraxinus,22.00,961.70,176.80,28.41,5.70,0.91,0.10,0.24,N/A,N/A,99.50,0.51,N/A,1.66
5157,Fraxinus,21.00,904.97,159.50,25.62,5.40,0.86,0.10,0.21,N/A,N/A,86.60,0.45,N/A,1.52
5158,Fraxinus,10.00,284.81,28.30,4.55,2.00,0.32,0.00,0.01,N/A,N/A,4.40,0.02,N/A,0.36
5159,Fraxinus,16.00,660.92,87.40,14.04,3.80,0.62,0.10,0.21,N/A,N/A,88.90,0.46,N/A,1.29
5160,Fraxinus,16.00,660.92,87.40,14.04,3.80,0.62,0.10,0.21,N/A,N/A,88.90,0.46,N/A,1.29
5163,Platanus,110.00,14473.60,7083.70,1138.11,30.10,4.83,1.40,2.64,N/A,N/A,1102.70,5.67,N/A,13.14
5164,Platanus,90.00,10753.90,4369.90,702.09,36.50,5.86,1.60,3.04,N/A,N/A,1268.30,6.52,N/A,15.42
5165,Tilia x europaea,21.00,972.28,205.50,33.02,7.20,1.15,0.10,0.21,N/A,N/A,88.00,0.45,N/A,1.82
5167,Tilia x europaea,13.00,559.25,66.30,10.66,3.80,0.60,0.00,0.08,N/A,N/A,34.80,0.18,N/A,0.87
5168,Tilia x europaea,21.00,972.28,205.50,33.02,7.20,1.15,0.20,0.29,N/A,N/A,119.60,0.62,N/A,2.06
5169,Tilia x europaea,14.00,600.25,79.00,12.69,4.20,0.67,0.00,0.08,N/A,N/A,34.60,0.18,N/A,0.93
5171,Abies alba,19.00,758.36,63.80,10.26,2.00,0.33,0.10,0.15,N/A,N/A,63.20,0.32,N/A,0.80
5172,Tilia x europaea,20.00,910.02,183.20,29.43,6.70,1.08,0.10,0.10,N/A,N/A,40.40,0.21,N/A,1.38
5173,Tilia x europaea,19.00,850.80,162.30,26.08,6.30,1.01,0.30,0.56,N/A,N/A,232.50,1.20,N/A,2.76
5174,Picea abies,27.00,1298.54,178.10,28.61,3.00,0.49,0.10,0.20,N/A,N/A,81.90,0.42,N/A,1.11
5175,Pseudotsuga menziesii,28.00,1456.90,101.20,16.26,2.30,0.38,0.10,0.16,N/A,N/A,65.40,0.34,N/A,0.87
5177,Pseudotsuga menziesii,19.00,819.33,26.30,4.23,0.90,0.14,0.00,0.09,N/A,N/A,37.80,0.19,N/A,0.43
5178,Pseudotsuga menziesii,32.00,1818.64,81.80,13.15,1.70,0.27,0.10,0.28,N/A,N/A,116.00,0.60,N/A,1.15
5179,Pseudotsuga menziesii,32.00,1818.64,83.80,13.47,1.70,0.27,0.20,0.40,N/A,N/A,165.70,0.85,N/A,1.52
5181,Tilia x europaea,24.00,1177.28,281.60,45.24,8.60,1.38,0.30,0.61,N/A,N/A,252.50,1.30,N/A,3.28
5182,Tilia x europaea,25.00,1251.68,310.00,49.81,9.10,1.46,0.20,0.37,N/A,N/A,154.20,0.79,N/A,2.62
5192,Paulownia tomentosa,63.70,3797.11,495.10,79.55,7.10,1.14,0.20,0.34,N/A,N/A,142.30,0.73,N/A,2.21
5193,Celtis australis,42.30,2757.79,103.60,16.64,1.70,0.27,0.30,0.48,N/A,N/A,200.40,1.03,N/A,1.78
5216,Koelreuteria paniculata,50.00,3553.10,1067.80,171.56,11.50,1.84,0.30,0.51,N/A,N/A,214.60,1.10,N/A,3.46
5217,Platanus x hispanica,110.00,14473.60,7083.70,1138.11,30.10,4.83,2.20,4.24,N/A,N/A,1767.80,9.09,N/A,18.16
5218,Platanus x hispanica,160.00,21772.64,7500.00,1205.00,0.30,0.04,3.20,6.16,N/A,N/A,2571.60,13.22,N/A,19.43
5234,Ulmus pumila,85.90,4982.32,2842.80,456.74,31.90,5.13,0.90,1.65,N/A,N/A,688.40,3.54,N/A,10.32
5235,Prunus,23.00,880.64,192.60,30.94,6.30,1.02,0.10,0.27,N/A,N/A,114.10,0.59,N/A,1.88
5236,Celtis australis,3.00,53.83,1.10,0.18,0.30,0.04,0.10,0.25,N/A,N/A,104.60,0.54,N/A,0.83
5240,Liriodendron tulipifera,18.00,800.68,59.30,9.53,3.20,0.52,0.10,0.12,N/A,N/A,51.00,0.26,N/A,0.90
5241,Liriodendron tulipifera,8.00,213.61,8.40,1.35,1.10,0.17,0.00,0.02,N/A,N/A,6.70,0.03,N/A,0.22
5242,Acer platanoides,35.00,1962.37,369.70,59.40,9.70,1.56,0.10,0.14,N/A,N/A,57.20,0.29,N/A,2.00
5243,Acer campestre,8.00,207.91,11.20,1.80,0.70,0.11,0.00,0.00,N/A,N/A,1.70,0.01,N/A,0.13
5244,Acer platanoides,40.00,2464.81,513.70,82.53,11.80,1.89,0.20,0.31,N/A,N/A,128.60,0.66,N/A,2.86
5245,Prunus mahaleb,19.00,713.99,120.90,19.43,4.80,0.78,0.10,0.28,N/A,N/A,117.70,0.61,N/A,1.66
5246,Prunus,19.10,719.70,123.10,19.78,4.90,0.78,0.00,0.07,N/A,N/A,28.80,0.15,N/A,1.00
5247,Acer campestre,11.00,486.12,24.60,3.96,1.10,0.18,0.00,0.02,N/A,N/A,6.40,0.03,N/A,0.23
5248,Acer campestre,15.00,642.61,50.00,8.03,1.60,0.26,0.00,0.05,N/A,N/A,20.20,0.10,N/A,0.42
5249,Acer campestre,10.00,324.86,20.00,3.21,1.00,0.16,0.00,0.02,N/A,N/A,7.60,0.04,N/A,0.21
5250,Acer campestre,12.00,520.73,32.80,5.28,1.30,0.21,0.10,0.17,N/A,N/A,72.90,0.38,N/A,0.76
5251,Acer campestre,15.10,647.14,52.90,8.50,1.70,0.27,0.00,0.04,N/A,N/A,18.20,0.09,N/A,0.41
5252,Acer campestre,15.10,647.14,52.90,8.50,1.70,0.27,0.00,0.05,N/A,N/A,20.90,0.11,N/A,0.43
5253,Acer negundo,26.00,848.99,148.50,23.86,5.30,0.85,0.40,0.68,N/A,N/A,281.70,1.45,N/A,2.97
5254,Acer negundo,32.00,1085.71,240.30,38.61,6.90,1.11,0.70,1.31,N/A,N/A,545.20,2.80,N/A,5.22
5255,Acer negundo,36.00,1270.73,339.40,54.53,8.50,1.37,0.70,1.33,N/A,N/A,553.10,2.84,N/A,5.54
5256,Acer negundo,35.00,1222.43,319.10,51.28,8.30,1.33,0.60,1.06,N/A,N/A,443.40,2.28,N/A,4.67
5257,Acer negundo,32.00,1085.71,240.30,38.61,6.90,1.11,0.70,1.31,N/A,N/A,545.20,2.80,N/A,5.22
5258,Acer negundo,32.10,1089.63,244.80,39.33,7.00,1.13,0.20,0.45,N/A,N/A,188.60,0.97,N/A,2.55
5259,Acer negundo,28.00,922.45,175.00,28.12,5.80,0.93,0.20,0.35,N/A,N/A,146.50,0.75,N/A,2.03
5260,Acer negundo,24.00,780.97,130.10,20.90,4.90,0.79,0.20,0.32,N/A,N/A,131.80,0.68,N/A,1.78
5261,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.25,N/A,N/A,102.90,0.53,N/A,1.69
5262,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.20,N/A,N/A,85.10,0.44,N/A,1.56
5263,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.19,N/A,N/A,79.20,0.41,N/A,1.51
5264,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.25,N/A,N/A,102.90,0.53,N/A,1.69
5265,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.19,N/A,N/A,79.20,0.41,N/A,1.51
5266,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.23,N/A,N/A,97.00,0.50,N/A,1.65
5267,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.25,N/A,N/A,102.90,0.53,N/A,1.69
5268,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.22,N/A,N/A,91.00,0.47,N/A,1.60
5269,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.20,N/A,N/A,85.10,0.44,N/A,1.56
5270,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.20,N/A,N/A,85.10,0.44,N/A,1.56
5271,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.23,N/A,N/A,97.00,0.50,N/A,1.65
5272,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.19,N/A,N/A,79.20,0.41,N/A,1.51
5273,Acer platanoides,23.40,1054.08,145.10,23.32,5.70,0.92,0.10,0.23,N/A,N/A,97.00,0.50,N/A,1.65
5274,Nerium oleander,10.00,278.67,16.90,2.71,1.50,0.24,0.00,0.02,N/A,N/A,8.00,0.04,N/A,0.30
5275,Nerium oleander,10.00,278.67,16.50,2.66,1.50,0.24,0.00,0.01,N/A,N/A,4.40,0.02,N/A,0.27
5276,Tilia x europaea,25.00,1251.68,310.00,49.81,9.10,1.46,0.10,0.11,N/A,N/A,44.60,0.23,N/A,1.79
5277,Tilia x europaea,2.00,60.08,0.80,0.13,0.30,0.05,0.00,0.01,N/A,N/A,2.80,0.01,N/A,0.07
5279,Ligustrum lucidum,26.60,1236.70,175.60,28.22,4.60,0.74,0.10,0.17,N/A,N/A,72.80,0.37,N/A,1.29
5280,Liquidambar styraciflua,15.00,640.10,24.60,3.96,1.60,0.26,0.10,0.18,N/A,N/A,73.70,0.38,N/A,0.82
5281,Cedrus deodara,109.20,13746.02,3450.90,554.45,17.30,2.79,0.90,1.75,N/A,N/A,731.20,3.76,N/A,8.30
5282,Cedrus deodara,134.70,17680.92,5375.80,863.71,5.40,0.87,0.80,1.57,N/A,N/A,653.20,3.36,N/A,5.79
5283,Fraxinus excelsior,20.00,850.89,93.30,14.99,4.20,0.67,0.00,0.07,N/A,N/A,30.80,0.16,N/A,0.90
5284,Fraxinus excelsior,32.00,1674.09,258.90,41.59,7.30,1.18,0.40,0.70,N/A,N/A,293.20,1.51,N/A,3.39
5285,Abies alba,35.00,1856.27,212.90,34.21,3.80,0.61,0.00,0.06,N/A,N/A,24.80,0.13,N/A,0.80
5286,Abies alba,35.00,1856.27,220.50,35.43,3.80,0.61,0.20,0.43,N/A,N/A,180.20,0.93,N/A,1.97
5287,Abies alba,19.00,758.36,61.90,9.94,2.00,0.33,0.00,0.05,N/A,N/A,22.60,0.12,N/A,0.50
5288,Abies alba,21.00,860.02,75.90,12.19,2.30,0.36,0.00,0.07,N/A,N/A,27.20,0.14,N/A,0.57
5289,Cedrus libani,60.00,5560.76,2268.70,364.50,24.20,3.88,0.20,0.31,N/A,N/A,127.30,0.65,N/A,4.84
5290,Celtis australis,28.00,1385.54,51.00,8.20,1.30,0.20,0.10,0.15,N/A,N/A,61.30,0.32,N/A,0.66
5291,Diospyros lotus,10.00,278.67,16.10,2.59,1.30,0.22,0.00,0.06,N/A,N/A,25.90,0.13,N/A,0.41
5292,Fraxinus ornus,45.00,2994.63,1117.90,179.61,1.80,0.29,0.20,0.34,N/A,N/A,143.10,0.74,N/A,1.37
5293,Prunus,25.00,975.63,235.90,37.90,7.10,1.15,0.00,0.06,N/A,N/A,24.40,0.13,N/A,1.33
5294,Robinia pseudoacacia,30.00,1132.75,180.90,29.07,5.90,0.95,0.10,0.28,N/A,N/A,115.00,0.59,N/A,1.81
5295,Pyrus,15.00,616.56,50.60,8.13,2.60,0.41,0.00,0.06,N/A,N/A,24.00,0.12,N/A,0.60
5296,Pyrus,20.00,842.45,102.30,16.43,3.90,0.63,0.00,0.04,N/A,N/A,14.60,0.08,N/A,0.74
5297,Aesculus hippocastanum,28.00,1301.34,210.30,33.79,5.70,0.91,0.20,0.33,N/A,N/A,137.10,0.70,N/A,1.95
5298,Acer palmatum,29.50,1613.55,184.00,29.57,3.20,0.52,0.10,0.16,N/A,N/A,68.20,0.35,N/A,1.03
5299,Quercus rubra,10.00,333.76,17.50,2.82,1.30,0.22,0.00,0.02,N/A,N/A,7.10,0.04,N/A,0.27
5307,Tilia x europaea,25.00,1251.68,310.00,49.81,9.10,1.46,0.20,0.30,N/A,N/A,127.20,0.65,N/A,2.42
5308,Tilia x europaea,16.00,691.36,108.20,17.39,5.00,0.80,0.00,0.05,N/A,N/A,19.40,0.10,N/A,0.95
5309,Tilia x europaea,32.00,1857.56,554.90,89.16,12.70,2.04,0.40,0.83,N/A,N/A,344.50,1.77,N/A,4.63
5310,Tilia x europaea,38.00,2495.32,832.20,133.70,16.00,2.57,0.60,1.09,N/A,N/A,456.00,2.34,N/A,6.01
5311,Tilia x europaea,40.00,2732.21,939.20,150.89,17.10,2.75,0.60,1.19,N/A,N/A,494.50,2.54,N/A,6.48
5312,Tilia x europaea,42.00,2981.24,1053.70,169.29,18.30,2.94,0.70,1.28,N/A,N/A,533.80,2.74,N/A,6.97
5313,Tilia x europaea,28.00,1493.12,405.00,65.07,10.60,1.70,0.40,0.68,N/A,N/A,284.50,1.46,N/A,3.84
5314,Carpinus betulus,32.80,1713.97,350.30,56.29,6.60,1.05,0.10,0.22,N/A,N/A,93.10,0.48,N/A,1.75
5315,Carpinus betulus,21.00,895.37,128.30,20.62,4.20,0.68,0.20,0.39,N/A,N/A,161.70,0.83,N/A,1.89
5316,Carpinus betulus,21.00,895.37,128.30,20.62,4.20,0.68,0.20,0.29,N/A,N/A,121.90,0.63,N/A,1.60
5317,Carpinus betulus,22.00,950.87,142.30,22.86,4.50,0.72,0.30,0.56,N/A,N/A,232.10,1.19,N/A,2.47
5318,Carpinus betulus,17.00,699.17,80.80,12.97,3.20,0.52,0.30,0.55,N/A,N/A,229.30,1.18,N/A,2.24
5319,Carpinus betulus,26.00,1198.70,206.80,33.23,5.60,0.89,0.20,0.47,N/A,N/A,197.30,1.01,N/A,2.38
5320,Celtis australis,25.00,1169.22,42.00,6.75,1.20,0.19,0.30,0.53,N/A,N/A,221.00,1.14,N/A,1.85
5321,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.13,N/A,N/A,55.10,0.28,N/A,0.86
5322,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.14,N/A,N/A,58.50,0.30,N/A,0.88
5323,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.14,N/A,N/A,58.50,0.30,N/A,0.88
5324,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.14,N/A,N/A,58.50,0.30,N/A,0.88
5325,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.14,N/A,N/A,58.50,0.30,N/A,0.88
5326,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.12,N/A,N/A,51.80,0.27,N/A,0.83
5327,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.12,N/A,N/A,48.40,0.25,N/A,0.81
5328,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.11,N/A,N/A,45.10,0.23,N/A,0.78
5330,Fagus sylvatica,13.00,571.90,45.70,7.35,1.80,0.28,0.20,0.39,N/A,N/A,164.70,0.85,N/A,1.53
5331,Acer campestre,15.10,647.14,52.90,8.50,1.70,0.27,0.00,0.05,N/A,N/A,22.30,0.11,N/A,0.44
5332,Acer campestre,15.10,647.14,52.90,8.50,1.70,0.27,0.00,0.04,N/A,N/A,18.20,0.09,N/A,0.41
5333,Celtis australis,30.10,1549.07,57.60,9.26,1.30,0.21,0.20,0.30,N/A,N/A,123.40,0.63,N/A,1.14
5334,Celtis australis,30.10,1549.07,57.60,9.26,1.30,0.21,0.10,0.28,N/A,N/A,114.80,0.59,N/A,1.08
5335,Fraxinus ornus,16.30,673.27,92.60,14.88,2.80,0.44,0.10,0.14,N/A,N/A,58.50,0.30,N/A,0.88
5336,Aesculus hippocastanum,16.00,648.32,53.80,8.65,2.50,0.40,0.00,0.05,N/A,N/A,22.90,0.12,N/A,0.58
5337,Aesculus hippocastanum,50.00,3423.65,887.00,142.52,13.60,2.18,0.40,0.71,N/A,N/A,297.00,1.53,N/A,4.42
5338,Aesculus hippocastanum,40.00,2310.55,516.50,82.98,9.80,1.57,0.20,0.37,N/A,N/A,154.90,0.80,N/A,2.74
5339,Aesculus hippocastanum,22.00,930.31,118.20,18.99,4.00,0.65,0.20,0.47,N/A,N/A,195.20,1.00,N/A,2.12
5340,Aesculus hippocastanum,30.00,1444.81,245.50,39.44,6.20,1.00,0.10,0.13,N/A,N/A,54.50,0.28,N/A,1.41
5341,Aesculus hippocastanum,40.00,2310.55,516.50,82.98,9.80,1.57,0.20,0.35,N/A,N/A,144.20,0.74,N/A,2.66
5342,Aesculus hippocastanum,60.00,4784.10,1384.60,222.45,17.70,2.85,0.50,0.99,N/A,N/A,411.30,2.11,N/A,5.95
5343,Aesculus hippocastanum,20.00,826.42,94.30,15.15,3.50,0.56,0.10,0.27,N/A,N/A,114.70,0.59,N/A,1.43
5344,Aesculus hippocastanum,30.00,1444.81,259.20,41.65,6.50,1.04,0.20,0.41,N/A,N/A,169.10,0.87,N/A,2.31
5345,Aesculus hippocastanum,28.00,1301.34,210.30,33.79,5.70,0.91,0.10,0.25,N/A,N/A,105.60,0.54,N/A,1.71
5346,Aesculus hippocastanum,38.00,2117.61,444.30,71.39,8.90,1.43,0.40,0.76,N/A,N/A,317.60,1.63,N/A,3.83
5347,Aesculus hippocastanum,35.00,1846.76,360.50,57.91,7.90,1.26,0.10,0.13,N/A,N/A,54.10,0.28,N/A,1.67
5348,Aesculus hippocastanum,40.00,2310.55,498.70,80.13,9.60,1.54,0.20,0.29,N/A,N/A,119.70,0.62,N/A,2.44
5349,Aesculus hippocastanum,35.00,1846.76,360.50,57.91,7.90,1.26,0.20,0.36,N/A,N/A,148.30,0.76,N/A,2.38
5350,Aesculus hippocastanum,36.00,1934.57,378.10,60.75,8.10,1.30,0.20,0.31,N/A,N/A,128.70,0.66,N/A,2.27
5351,Aesculus hippocastanum,25.00,1104.69,156.10,25.08,4.70,0.76,0.20,0.29,N/A,N/A,120.00,0.62,N/A,1.67
5352,Aesculus hippocastanum,45.00,2836.18,670.60,107.74,11.40,1.84,0.40,0.81,N/A,N/A,337.10,1.73,N/A,4.38
5353,Aesculus hippocastanum,18.00,732.42,69.90,11.23,2.90,0.47,0.00,0.05,N/A,N/A,19.60,0.10,N/A,0.62
5354,Aesculus hippocastanum,50.00,3423.65,861.10,138.35,13.30,2.14,0.20,0.40,N/A,N/A,168.20,0.86,N/A,3.40
5355,Aesculus hippocastanum,30.00,1444.81,253.90,40.79,6.40,1.02,0.20,0.37,N/A,N/A,154.10,0.79,N/A,2.19
5356,Aesculus hippocastanum,65.00,5557.09,1684.90,270.71,20.00,3.21,0.50,1.01,N/A,N/A,423.10,2.18,N/A,6.40
5357,Aesculus hippocastanum,30.00,1444.81,242.60,38.97,6.20,0.99,0.10,0.12,N/A,N/A,51.30,0.26,N/A,1.38
5358,Aesculus hippocastanum,35.00,1846.76,364.10,58.50,7.90,1.27,0.20,0.33,N/A,N/A,137.50,0.71,N/A,2.31
5359,Aesculus hippocastanum,65.00,5557.09,1684.90,270.71,20.00,3.21,0.60,1.08,N/A,N/A,450.60,2.32,N/A,6.61
5360,Aesculus hippocastanum,32.00,1598.17,287.00,46.11,6.80,1.10,0.10,0.25,N/A,N/A,105.60,0.54,N/A,1.90
5361,Aesculus hippocastanum,35.00,1846.76,360.50,57.91,7.90,1.26,0.20,0.31,N/A,N/A,131.30,0.67,N/A,2.25
5362,Aesculus hippocastanum,30.00,1444.81,245.50,39.44,6.20,1.00,0.20,0.32,N/A,N/A,134.10,0.69,N/A,2.01
5363,Aesculus hippocastanum,65.00,5557.09,1684.90,270.71,20.00,3.21,0.30,0.53,N/A,N/A,222.20,1.14,N/A,4.88
5364,Aesculus hippocastanum,50.00,3423.65,887.00,142.52,13.60,2.18,0.30,0.57,N/A,N/A,236.70,1.22,N/A,3.96
5365,Aesculus hippocastanum,18.00,732.42,78.20,12.56,3.20,0.51,0.10,0.26,N/A,N/A,108.70,0.56,N/A,1.33
