TreeID,Name,Latitude,Longitude
1,Acer pseudoplatanus,46.051599142229,11.072013608177
2,Acer pseudoplatanus,46.051540630593,11.072108370299
3,Acer pseudoplatanus,46.051668440327,11.071959322582
4,Acer pseudoplatanus,46.063778420757,11.150169680736
7,Cupressus,46.052304722193,11.071550201386
8,Acer pseudoplatanus,46.052001991059,11.071766133536
9,Acer pseudoplatanus,46.051873891309,11.071856742177
10,Acer pseudoplatanus,46.052135195521,11.071671966614
11,Acer pseudoplatanus,46.052551097683,11.071439195195
12,Acer pseudoplatanus,46.052468976278,11.071471026693
13,Acer platanoides,46.051953840175,11.071800786242
14,Acer pseudoplatanus,46.052403843919,11.071499098353
15,Acer platanoides,46.052237807796,11.071592167354
16,Acer pseudoplatanus,46.051748719392,11.071934791616
17,Acer pseudoplatanus,46.051378752574,11.072264932879
18,Acer pseudoplatanus,46.048201329422,11.143452315969
36,Sophora japonica,46.051329040267,11.145229151942
37,Tilia cordata,46.05150784378,11.145719928811
38,Tilia cordata,46.051531982996,11.145829190887
39,Tilia cordata,46.051392521748,11.145323520363
40,Tilia cordata,46.043993801615,11.105602996755
70,Tilia cordata,46.04276612403,11.105750079305
71,Tilia cordata,46.042667975474,11.105752423437
72,Tilia cordata,46.042577791796,11.105752356108
73,Tilia cordata,46.05470007289,11.137069616527
80,Acer pseudoplatanus,46.045169727688,11.139417079952
81,Acer pseudoplatanus,46.045142452596,11.139297113472
82,Acer pseudoplatanus,46.04482609631,11.139272488237
83,Acer pseudoplatanus,46.044767202599,11.13926930916
84,Acer pseudoplatanus,46.044373936642,11.139434557735
85,Acer pseudoplatanus,46.044445843549,11.139242876398
86,Acer pseudoplatanus,46.043972942409,11.139205032607
87,Acer pseudoplatanus,46.043808085571,11.139256183076
88,Acer pseudoplatanus,46.043961594027,11.139402963074
89,Acer pseudoplatanus,46.044145497441,11.139417186127
90,Acer pseudoplatanus,46.05498809725,11.138145552572
91,Acer campestre,46.055012760146,11.138135348752
92,Acer campestre,46.055101688838,11.138205243305
93,Acer campestre,46.055150483544,11.138732344144
94,Acer tataricum ssp. ginnala,46.055227664349,11.138778800937
95,Acer tataricum ssp. ginnala,46.038782435562,11.055707892848
96,Fagus,46.038845688279,11.056039151311
97,Fagus,46.038925699004,11.056569413737
99,Fagus,46.038952394024,11.056746427619
100,Fagus,46.038977634014,11.056904260326
101,Fagus,46.03899560437,11.057030935227
102,Fagus,46.038032721066,11.054100162707
103,Fagus,46.037890768345,11.053990865461
104,Fagus,46.071209293426,11.058550396284
107,Acer campestre,46.071179114466,11.058650744896
108,Acer opalus,46.050899905231,11.14470619192
114,Tilia cordata,46.050942501983,11.144915831934
115,Tilia cordata,46.050996364803,11.14477947288
116,Tilia cordata,46.051101999817,11.144891372561
117,Tilia cordata,46.051164220331,11.14516795848
118,Tilia cordata,46.051096725788,11.145081191247
119,Tilia cordata,46.051018976056,11.145003722089
120,Tilia cordata,46.051265828325,11.145130011275
121,Tilia cordata,46.051197679524,11.145034945462
122,Tilia cordata,46.048053682425,11.143233710913
123,Sophora japonica,46.048108485202,11.14332540881
124,Sophora japonica,46.05152420067,11.145524721044
135,Tilia cordata,46.051460162563,11.145426452554
137,Tilia cordata,46.051868801662,11.146220999473
138,Tilia cordata,46.051934418986,11.146316616173
139,Tilia cordata,46.05248698868,11.147019157429
140,Tilia cordata,46.052546936689,11.147114685647
141,Tilia cordata,46.052609181653,11.147207717714
142,Tilia cordata,46.052413011995,11.1469038243
143,Tilia cordata,46.052839601463,11.147571242821
144,Tilia cordata,46.051982956888,11.14623382578
145,Tilia cordata,46.051918919424,11.146135555659
146,Tilia cordata,46.051854485557,11.146034426489
147,Tilia cordata,46.05205881942,11.146311095661
148,Tilia cordata,46.052244706896,11.146644964888
149,Tilia cordata,46.052198455407,11.146529414662
150,Tilia cordata,46.051790010347,11.145935493527
151,Tilia cordata,46.051724698903,11.145837950356
152,Tilia cordata,46.057667250509,11.153067208122
170,Sorbus,46.057550908821,11.15305104889
171,Sorbus,46.05743458417,11.153033985422
172,Sorbus,46.057315504637,11.153043705545
173,Sorbus,46.057202887809,11.153078240428
174,Sorbus,46.079102248875,11.058546651645
180,Tilia cordata,46.079066470341,11.058434353341
181,Tilia cordata,46.078991516932,11.058378280093
182,Tilia cordata,46.078779023239,11.058502811045
183,Cupressus,46.078769538945,11.058494698305
184,Cupressus,46.078766468917,11.058510233232
185,Cupressus,46.078328066432,11.058859412401
186,Carpinus betulus,46.078385247409,11.058797909226
187,Carpinus betulus,46.078430355778,11.058732076825
188,Carpinus betulus,46.078581641508,11.058512927777
189,Carpinus betulus,46.045055936816,11.105510882907
307,Tilia cordata,46.04495806423,11.105522673362
308,Tilia cordata,46.044854671861,11.105536063523
309,Tilia cordata,46.044759604131,11.105547055743
310,Tilia cordata,46.044663024052,11.105557085684
311,Tilia cordata,46.044559161059,11.105566709537
312,Tilia cordata,46.044134545034,11.105599427808
330,Prunus avium,46.044552125961,11.10539169358
331,Fraxinus,46.044526023582,11.105347789957
332,Fraxinus,46.044489725167,11.105412716627
333,Fraxinus,46.020916872108,11.111386394064
396,Prunus serrulata,46.020956034288,11.111390727749
397,Prunus serrulata,46.020947458079,11.111460296639
398,Prunus serrulata,46.064569421023,11.097657410952
415,Parrotia persica,46.064480335309,11.097666189416
416,Parrotia persica,46.064391886304,11.097674604089
417,Parrotia persica,46.064303070414,11.097683392732
418,Parrotia persica,46.06420162468,11.09769377155
419,Parrotia persica,46.064113083357,11.097702311952
420,Parrotia persica,46.064025072195,11.097711389609
