,Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
854,2098,Celtis australis,21,918.9,31.2,5.01,1,0.16,0.1,0.2,,,82.7,0.43,,0.79,2.7,8,2.4,6,28.3,57,3.4,46.1181429953475,11.0951704130682
855,2099,Celtis australis,22,977.4,33.8,5.42,1.1,0.17,0.1,0.22,,,89.9,0.46,,0.85,2.8,8,2.4,6,28.3,62,3.7,46.1181067191901,11.0950774053947
856,2100,Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0.1,0.23,,,94.6,0.49,,0.86,2.5,8,2.4,6,28.3,65.2,3.8,46.118073197936,11.094986314229
857,2101,Celtis australis,22,977.4,33.8,5.42,1.1,0.17,0.1,0.24,,,101.6,0.52,,0.94,2.8,8,2.4,6,28.3,70,4.1,46.1179972515045,11.0947890403741
858,2102,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.23,,,96.4,0.5,,0.88,2.6,8,2.4,6,28.3,66.5,3.9,46.1179700442345,11.0947168259277
859,2103,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.18,,,74.3,0.38,,0.71,2.6,8,2.4,6,28.3,51.2,3,46.1179417008744,11.0946427565563
860,2104,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.18,,,74.3,0.38,,0.71,2.6,8,2.4,6,28.3,51.2,3,46.1178071402862,11.0942895071008
861,2105,Celtis australis,22,977.4,33.8,5.42,1.1,0.17,0.1,0.2,,,84.1,0.43,,0.8,2.8,8,2.4,6,28.3,57.9,3.4,46.1177660423895,11.0941845403321
862,2106,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.2,,,85.4,0.44,,0.8,2.6,8,2.4,6,28.3,58.8,3.5,46.1177291288382,11.0940869799891
863,2107,Celtis australis,23,1038.62,36.4,5.85,1.1,0.18,0.1,0.23,,,97.2,0.5,,0.91,2.9,8,2.4,6,28.3,67,4,46.1176491455447,11.0938790723957
864,2108,Celtis australis,25,1169.22,42,6.75,1.2,0.19,0.1,0.25,,,106.3,0.55,,0.99,3.1,8,2.4,6,28.3,73.2,4.3,46.1171100697597,11.0924959648866
865,2109,Celtis australis,12,514.84,12,1.92,0.7,0.11,0.1,0.12,,,48.4,0.25,,0.48,1.8,6,1.8,5,19.6,33.4,2,46.1170391199864,11.0923106645042
866,2110,Celtis australis,12,514.84,12,1.92,0.7,0.11,0.1,0.11,,,45.7,0.23,,0.46,1.8,6,1.8,5,19.6,31.5,1.9,46.1169501157631,11.0920791247658
867,2111,Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0.1,0.21,,,89.2,0.46,,0.82,2.5,8,2.4,6,28.3,61.5,3.6,46.1169152547657,11.0919873395338
868,2112,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.23,,,96.4,0.5,,0.88,2.6,8,2.4,6,28.3,66.5,3.9,46.1168816409963,11.0919011667412
869,2113,Celtis australis,16,667.22,19.6,3.14,0.8,0.14,0.1,0.14,,,56.6,0.29,,0.56,2.3,7,2.1,5,19.6,39,2.3,46.1168452224665,11.0918059578309
870,2114,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.2,0.47,,,194.2,1,,1.62,2.6,8,2.4,8,50.3,133.9,7.9,46.1166645691237,11.0915708213335
871,2115,Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0.1,0.17,,,69.6,0.36,,0.67,2.5,7,2.1,6,28.3,48,2.8,46.1172341000846,11.0930460455983
872,2116,Celtis australis,6,105.74,3.6,0.59,0.4,0.07,0,0.01,,,4.7,0.02,,0.1,1.1,4,1.2,1.5,1.8,3.2,0.2,46.1173054863998,11.0932369292784
873,2117,Celtis australis,7,143.92,4.7,0.76,0.5,0.08,0,0.01,,,4.3,0.02,,0.11,1.3,4,1.2,1.5,1.8,3,0.2,46.1173410468414,11.0933346958763
874,2118,Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.07,,,28.2,0.15,,0.32,1.8,5,1.5,4,12.6,19.4,1.1,46.117355641366,11.093432185992
875,2119,Celtis australis,13,548.86,13.7,2.2,0.7,0.12,0,0.06,,,24,0.12,,0.3,2,5,1.5,4,12.6,16.6,1,46.1173478452407,11.093523650959
876,2120,Celtis australis,7,143.92,4.7,0.76,0.5,0.08,0,0.01,,,4.9,0.03,,0.11,1.3,4,1.2,1.5,1.8,3.4,0.2,46.1183561928149,11.0928241351969
877,2121,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0,0.08,,,34.6,0.18,,0.65,6.5,5,1.5,4,12.6,23.9,1.8,46.1182840588011,11.0928804206032
878,2122,Tilia cordata,11,489.05,18.8,3.02,1.3,0.2,0,0.03,,,12.7,0.07,,0.3,3.4,4,1.2,2.5,4.9,8.8,0.7,46.1182090275972,11.092942549641
879,2123,Tilia cordata,15,662.69,39,6.27,1.9,0.31,0,0.08,,,32.5,0.17,,0.55,5.1,4,1.2,4,12.6,22.4,1.7,46.1187430405601,11.0926810177814
880,2124,Tilia cordata,10,360.47,15,2.41,1.1,0.18,0,0.03,,,11.6,0.06,,0.27,3,4,1.2,2.5,4.9,8,0.6,46.1184022359399,11.0929540095075
881,2125,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0.1,0.13,,,53.1,0.27,,0.79,6.5,6,1.8,4.5,15.9,36.6,2.7,46.1183288994572,11.0930120611837
882,2126,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,4.2,0.02,,0.14,1.8,4.5,1.3,1,0.8,2.9,0.2,46.1182562635241,11.0930711746404
883,2127,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,3.6,0.02,,0.14,1.8,4.5,1.3,1,0.8,2.5,0.2,46.1181792890496,11.0931312884146
884,2128,Tilia cordata,15,662.69,39,6.27,1.9,0.31,0,0.07,,,30.3,0.16,,0.54,5.1,5,1.5,4,12.6,20.9,1.6,46.1180986363287,11.0931956631003
885,2129,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.1,,,40.7,0.21,,0.67,6,6,1.8,4,12.6,28.1,2.1,46.1180212593764,11.0932580909179
886,2130,Tilia cordata,8,230.7,8.9,1.42,0.8,0.13,0,0.01,,,4.8,0.02,,0.17,2.2,4,1.2,1,0.8,3.3,0.2,46.1179431936645,11.093318809965
887,2131,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.02,,,6.3,0.03,,0.16,1.8,4,1.2,1.5,1.8,4.3,0.3,46.1178641006531,11.0933815606995
888,2132,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0,0.09,,,36.1,0.19,,0.64,6,5,1.5,4,12.6,24.9,1.9,46.1177857366193,11.0934438211835
889,2133,Tilia cordata,6,129.77,4.5,0.72,0.6,0.09,0,0.02,,,6.5,0.03,,0.14,1.5,3.5,1,2,3.1,4.4,0.3,46.1177067997287,11.0935078717133
890,2134,Tilia cordata,21,1023.34,86.3,13.87,3,0.48,0.1,0.12,,,50.1,0.26,,0.86,8,4,1.2,4.5,15.9,34.5,2.6,46.1172095129812,11.0927570212441
891,2135,Celtis australis,7,143.92,4.7,0.76,0.5,0.08,0,0.01,,,4.6,0.02,,0.11,1.3,4,1.2,1.5,1.8,3.2,0.2,46.1172444325661,11.0928455741302
892,2136,Celtis australis,10,293.71,8.7,1.41,0.6,0.1,0,0.03,,,11.7,0.06,,0.19,1.6,5,1.5,2.5,4.9,8,0.5,46.1172787059067,11.0929350086061
893,2137,Celtis australis,7,143.92,4.7,0.76,0.5,0.08,0,0.01,,,5.2,0.03,,0.12,1.3,4,1.2,1.5,1.8,3.6,0.2,46.1173157175201,11.0930321828177
894,2138,Celtis australis,12,514.84,12,1.92,0.7,0.11,0,0.03,,,12.5,0.06,,0.21,1.8,5,1.5,2.5,4.9,8.6,0.5,46.1173513090312,11.093123349947
895,2139,Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,10.7,0.05,,0.19,1.7,5,1.5,2.5,4.9,7.4,0.4,46.1173870022557,11.0932138739366
896,2140,Celtis australis,19,810.06,26.3,4.22,1,0.15,0.1,0.21,,,87.9,0.45,,0.82,2.6,6,1.8,6,28.3,60.6,3.6,46.1174249272562,11.0933103065968
897,2141,Celtis australis,18,759.73,23.9,3.85,0.9,0.15,0.1,0.21,,,86.2,0.44,,0.8,2.5,6,1.8,6,28.3,59.4,3.5,46.1174739763703,11.0934136319499
898,2142,Celtis australis,22,977.4,33.8,5.42,1.1,0.17,0.1,0.24,,,101.6,0.52,,0.94,2.8,8,2.4,6,28.3,70,4.1,46.1176987533862,11.0933477294552
899,2143,Tilia cordata,12,527.45,23.1,3.71,1.4,0.23,0,0.04,,,15.4,0.08,,0.34,3.8,4,1.2,3,7.1,10.6,0.8,46.1177776901908,11.0932836787024
900,2144,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0,0.09,,,37.5,0.19,,0.62,5.6,5,1.5,4,12.6,25.9,1.9,46.1178543120822,11.0932231639311
901,2145,Tilia cordata,15,662.69,39,6.27,1.9,0.31,0,0.08,,,32.5,0.17,,0.55,5.1,5,1.5,4,12.6,22.4,1.7,46.1180581865112,11.0930601771092
902,2146,Tilia cordata,13,569.19,27.9,4.48,1.6,0.25,0,0.05,,,20.4,0.11,,0.41,4.2,5,1.5,3,7.1,14.1,1.1,46.1208052031032,11.1062102968784
903,2147,Carpinus betulus,12,512,38.5,6.19,2.1,0.34,0,0.05,,,19,0.1,,0.48,5.6,4.5,1.3,3,7.1,13.1,0.8,46.1197008438833,11.1060742340187
904,2148,Carpinus betulus,12,512,38.5,6.19,2.1,0.34,0,0.05,,,21.5,0.11,,0.5,5.6,4.5,1.3,3,7.1,14.8,0.9,46.1205421274791,11.106141636518
905,2149,Carpinus betulus,10,278.67,26.5,4.26,1.7,0.27,0,0.04,,,14.8,0.08,,0.38,4.5,5,1.5,2.5,4.9,10.2,0.6,46.1196097446076,11.1060799509213
906,2150,Carpinus betulus,11,482.32,32.2,5.17,1.9,0.3,0,0.05,,,20.3,0.1,,0.46,5,5,1.5,3,7.1,14,0.8,46.1200927292107,11.1060737697812
907,2151,Carpinus betulus,8,178.35,17,2.73,1.3,0.21,0,0.03,,,10.8,0.06,,0.29,3.5,4.5,1.3,2.5,4.9,7.4,0.4,46.1200125259859,11.1060694183301
908,2152,Carpinus betulus,9,225.72,21.5,3.45,1.5,0.24,0,0.03,,,14.6,0.08,,0.35,4,4.5,1.3,2.5,4.9,10.1,0.6,46.1204535259916,11.1061241512519
909,2153,Carpinus betulus,10,278.67,26.5,4.26,1.7,0.27,0,0.03,,,11.7,0.06,,0.36,4.5,5,1.5,2,3.1,8,0.5,46.120766169215,11.0964504176347
910,2154,Platanus x hispanica,12,514,31.3,5.02,2,0.32,0,0.04,,,17.1,0.09,,0.44,5.2,5,1.5,3,7.1,11.8,0.5,46.1208134226254,11.0965729691209
911,2155,Platanus x hispanica,22,969.55,136.1,21.86,4.7,0.76,0.1,0.24,,,100.5,0.52,,1.51,12.6,7,2.1,6,28.3,69.3,3.2,46.1208857232375,11.0967676581002
912,2156,Platanus x hispanica,21,911.94,121.4,19.51,4.4,0.71,0.1,0.22,,,93.1,0.48,,1.41,11.7,7,2.1,6,28.3,64.2,2.9,46.1209281176181,11.0968803184215
913,2157,Platanus x hispanica,18,755.18,83.4,13.4,3.5,0.56,0.1,0.22,,,93.6,0.48,,1.27,9.4,7,2.1,6,28.3,64.5,3,46.1209709259831,11.09699493609
914,2158,Platanus x hispanica,19,804.75,95.1,15.28,3.8,0.61,0.1,0.2,,,84.4,0.43,,1.25,10.1,7,2.1,6,28.3,58.2,2.7,46.1210091480355,11.0970946247486
915,2159,Platanus x hispanica,13,547.5,37.9,6.09,2.2,0.35,0,0.04,,,15.6,0.08,,0.47,5.9,5,1.5,3,7.1,10.8,0.5,46.1190242213613,11.0972064382423
916,2160,Platanus x hispanica,16,664.07,62.6,10.06,3,0.48,0.1,0.21,,,88.6,0.46,,1.14,7.9,8,2.4,6,28.3,61.1,2.8,46.1191322360537,11.0971225281016
917,2161,Platanus x hispanica,33,1780.16,368.7,59.24,8.5,1.37,0.6,1.07,,,448.4,2.31,,4.75,22.8,13,3.9,10,78.5,309.1,14.2,46.1193397749273,11.0969612442529
918,2162,Platanus x hispanica,33,1780.16,368.7,59.24,8.5,1.37,0.5,0.93,,,389.6,2,,4.31,22.8,12,3.6,10,78.5,268.6,12.3,46.1194460402161,11.0968794670456
919,2163,Platanus x hispanica,22,969.55,136.1,21.86,4.7,0.76,0.3,0.56,,,233.6,1.2,,2.52,12.6,11,3.3,8,50.3,161,7.4,46.1195422246619,11.0968026134929
920,2164,Platanus x hispanica,7,141.74,8.6,1.38,0.9,0.15,0,0.02,,,6.3,0.03,,0.2,2.5,6,1.8,1.5,1.8,4.3,0.2,46.1196851826028,11.0966929774486
921,2165,Platanus x hispanica,32,1693.07,341.8,54.91,8.2,1.31,0.5,0.92,,,385.4,1.98,,4.22,21.8,12,3.6,10,78.5,265.7,12.2,46.1198631480221,11.0965541242013
922,2166,Platanus x hispanica,21,911.94,121.4,19.51,4.4,0.71,0.3,0.55,,,229.3,1.18,,2.44,11.7,11,3.3,9,63.6,158.1,7.3,46.1199732522703,11.0964691259991
923,2167,Platanus x hispanica,28,1371.5,245.9,39.51,6.7,1.08,0.5,1,,,415.4,2.14,,4.21,17.9,12,3.6,10,78.5,286.3,13.2,46.1201819099118,11.0963056795088
924,2168,Platanus x hispanica,22,969.55,136.1,21.86,4.7,0.76,0.4,0.68,,,285.3,1.47,,2.91,12.6,11,3.3,9,63.6,196.7,9,46.120289156994,11.0962243253871
925,2169,Platanus x hispanica,29,1447.87,268.1,43.08,7.1,1.14,0.6,1.05,,,436.5,2.24,,4.43,18.8,12,3.6,11,95,300.9,13.8,46.1189249786597,11.0972831743208
926,2170,Platanus x hispanica,15,622.53,53.6,8.61,2.7,0.43,0.1,0.15,,,62,0.32,,0.9,7.2,8,2.4,5.5,23.8,42.8,2,46.1187820335981,11.0974067858471
927,2171,Celtis australis,7,143.92,4.7,0.76,0.5,0.08,0,0.01,,,3.1,0.02,,0.1,1.3,4,1.2,1,0.8,2.2,0.1,46.1187399129116,11.0974851719172
928,2172,Celtis australis,13,548.86,13.7,2.2,0.7,0.12,0,0.07,,,29.1,0.15,,0.34,2,6,1.8,4,12.6,20,1.2,46.118711774938,11.0975765135155
929,2173,Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.07,,,29.8,0.15,,0.35,2.1,6,1.8,4,12.6,20.6,1.2,46.119141495241,11.0969907351797
930,2174,Platanus x hispanica,19,804.75,95.1,15.28,3.8,0.61,0.4,0.67,,,280.2,1.44,,2.72,10.1,10,3,9,63.6,193.2,8.9,46.1192484233678,11.0969071714913
931,2175,Platanus x hispanica,28,1371.5,245.9,39.51,6.7,1.08,0.4,0.77,,,319.9,1.64,,3.49,17.9,12,3.6,10,78.5,220.5,10.1,46.119357621329,11.0968225287833
932,2176,Platanus x hispanica,31,1608.66,316,50.77,7.8,1.25,0.5,1.03,,,430.6,2.21,,4.5,20.8,12,3.6,10,78.5,296.8,13.6,46.1194604922416,11.0967442464345
933,2177,Platanus x hispanica,18,755.18,83.4,13.4,3.5,0.56,0.2,0.32,,,134.2,0.69,,1.58,9.4,8,2.4,7,38.5,92.5,4.2,46.119567446306,11.0966592590912
934,2178,Platanus x hispanica,18,755.18,83.4,13.4,3.5,0.56,0.2,0.47,,,197.4,1.01,,2.05,9.4,8,2.4,8,50.3,136.1,6.3,46.1196705492081,11.0965781375497
935,2179,Platanus x hispanica,22,969.55,136.1,21.86,4.7,0.76,0.3,0.56,,,233.6,1.2,,2.52,12.6,11,3.3,8,50.3,161,7.4,46.1197782675363,11.096495637705
936,2180,Platanus x hispanica,24,1092.82,168.4,27.05,5.3,0.86,0.3,0.66,,,276.3,1.42,,2.94,14.3,11,3.3,9,63.6,190.4,8.7,46.1199024362685,11.0963995246171
937,2181,Platanus x hispanica,24,1092.82,168.4,27.05,5.3,0.86,0.4,0.75,,,312.1,1.6,,3.21,14.3,11,3.3,9,63.6,215.2,9.9,46.1199897252538,11.0963316509623
938,2182,Platanus x hispanica,21,911.94,121.4,19.51,4.4,0.71,0.3,0.5,,,209.6,1.08,,2.29,11.7,10,3,8,50.3,144.5,6.6,46.1200952990629,11.0962482922478
939,2183,Platanus x hispanica,24,1092.82,168.4,27.05,5.3,0.86,0.5,0.98,,,408.3,2.1,,3.94,14.3,12,3.6,11,95,281.4,12.9,46.1203096820208,11.0960818260527
940,2184,Platanus x hispanica,29,1447.87,268.1,43.08,7.1,1.14,0.4,0.76,,,317.9,1.63,,3.53,18.8,11,3.3,10,78.5,219.2,10.1,46.1204047534483,11.0960067397505
941,2185,Platanus x hispanica,18,755.18,83.4,13.4,3.5,0.56,0.2,0.31,,,129,0.66,,1.54,9.4,7,2.1,7,38.5,88.9,4.1,46.1216084099359,11.0903893574069
942,2186,Tilia cordata,25,1330.55,130.2,20.92,3.8,0.61,0.3,0.66,,,274.3,1.41,,2.68,10.2,10,3,8,50.3,189.1,14.2,46.121687922712,11.0903281673934
943,2187,Tilia cordata,19,889.77,68.2,10.95,2.6,0.42,0.3,0.49,,,206,1.06,,1.98,7,10,3,8,50.3,142,10.6,46.1218638459891,11.0903349528637
944,2188,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0.1,0.1,,,42.3,0.22,,0.65,5.6,7,2.1,4,12.6,29.2,2.2,46.1219105024058,11.0904462183189
945,2189,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0,0.09,,,37.5,0.19,,0.62,5.6,7,2.1,4,12.6,25.8,1.9,46.1219553669799,11.090557027863
946,2190,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.21,,,88,0.45,,1.03,6,7,2.1,6,28.3,60.7,4.5,46.1219986148626,11.0906676469781
947,2191,Tilia cordata,14,614.27,33.2,5.33,1.7,0.28,0,0.09,,,35.8,0.18,,0.55,4.7,6,1.8,4,12.6,24.7,1.9,46.1220420377843,11.0907785317584
948,2192,Tilia cordata,13,569.19,27.9,4.48,1.6,0.25,0,0.07,,,30.6,0.16,,0.49,4.2,6,1.8,4,12.6,21.1,1.6,46.1220882014427,11.0908921091047
949,2193,Tilia cordata,13,569.19,27.9,4.48,1.6,0.25,0.1,0.22,,,92.3,0.47,,0.95,4.2,6,1.8,6,28.3,63.7,4.8,46.1221283294437,11.0910010574728
950,2194,Tilia cordata,15,662.69,39,6.27,1.9,0.31,0.1,0.24,,,101.7,0.52,,1.07,5.1,7,2.1,6,28.3,70.1,5.3,46.122172533099,11.0911135255327
951,2195,Tilia cordata,14,614.27,33.2,5.33,1.7,0.28,0.2,0.35,,,145.2,0.75,,1.38,4.7,7,2.1,7,38.5,100.1,7.5,46.1222126230391,11.0912147067756
952,2196,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0.2,0.4,,,165.1,0.85,,1.64,6.5,8,2.4,7,38.5,113.8,8.5,46.122378188297,11.0913300865238
953,2197,Tilia cordata,6,129.77,4.5,0.72,0.6,0.09,0,0.01,,,4.3,0.02,,0.12,1.5,4,1.2,1,0.8,3,0.2,46.1222926428545,11.0911160007109
954,2198,Tilia cordata,13,569.19,27.9,4.48,1.6,0.25,0,0.09,,,37,0.19,,0.53,4.2,6,1.8,4,12.6,25.5,1.9,46.1222455255877,11.0909955266746
955,2199,Tilia cordata,6,129.77,4.5,0.72,0.6,0.09,0,0.02,,,6.4,0.03,,0.14,1.5,5,1.5,1.5,1.8,4.4,0.3,46.1222021478574,11.0908871022564
956,2200,Tilia cordata,10,360.47,15,2.41,1.1,0.18,0,0.03,,,11.6,0.06,,0.27,3,6,1.8,2.5,4.9,8,0.6,46.1213181783654,11.0904565529849
957,2201,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,3,0.02,,0.13,1.8,2.5,0.8,1,0.8,2.1,0.2,46.1212398087343,11.0905192094207
958,2202,Tilia cordata,12,527.45,23.1,3.71,1.4,0.23,0,0.07,,,29.1,0.15,,0.45,3.8,4.5,1.3,4,12.6,20.1,1.5,46.1211598792995,11.0905834892661
959,2203,Tilia cordata,10,360.47,15,2.41,1.1,0.18,0,0.02,,,9.1,0.05,,0.25,3,4,1.2,2,3.1,6.3,0.5,46.1210830930414,11.0906432283531
960,2204,Tilia cordata,10,360.47,15,2.41,1.1,0.18,0,0.02,,,9.1,0.05,,0.25,3,4,1.2,2,3.1,6.3,0.5,46.1215339717176,11.0904486683411
961,2205,Tilia cordata,19,889.77,68.2,10.95,2.6,0.42,0,0.08,,,33.6,0.17,,0.68,7,6.5,1.9,4,12.6,23.2,1.7,46.1199985828698,11.0916789068248
962,2206,Tilia cordata,8,230.7,8.9,1.42,0.8,0.13,0,0.02,,,6.6,0.03,,0.18,2.2,4,1.2,1.5,1.8,4.5,0.3,46.1199193250303,11.091740879329
963,2207,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0.1,0.12,,,48.3,0.25,,0.7,5.6,5.5,1.7,5,19.6,33.3,2.5,46.1198432080075,11.0918033588515
964,2208,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0.1,0.23,,,97.1,0.5,,1.07,5.6,5.5,1.7,6,28.3,66.9,5,46.1197626696122,11.0918664473793
965,2209,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,4.5,0.02,,0.15,1.8,4,1.2,1,0.8,3.1,0.2,46.1196865927811,11.0919267278108
966,2210,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,4.5,0.02,,0.15,1.8,4,1.2,1,0.8,3.1,0.2,46.1196016329348,11.0919953433909
967,2211,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0.1,0.19,,,79.8,0.41,,0.99,6.5,6,1.8,6,28.3,55,4.1,46.1195324058491,11.0920501880288
968,2212,Tilia cordata,16,714.45,45.5,7.3,2.1,0.34,0.1,0.14,,,59.1,0.3,,0.78,5.6,5.5,1.7,5,19.6,40.7,3.1,46.1194516377098,11.0921159851279
969,2213,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,4.5,0.02,,0.15,1.8,4,1.2,1,0.8,3.1,0.2,46.1192004856562,11.0923148522305
970,2214,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,4.8,0.02,,0.15,1.8,4,1.2,1.5,1.8,3.3,0.2,46.1190512616894,11.0924375922882
971,2215,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.01,,,5.5,0.03,,0.15,1.8,4,1.2,1.5,1.8,3.8,0.3,46.1189726330528,11.0924995865172
972,2216,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.15,,,62.4,0.32,,0.83,6,5,1.5,5,19.6,43,3.2,46.1188967263152,11.092560389398
973,2217,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.12,,,51.6,0.27,,0.75,6,5,1.5,5,19.6,35.6,2.7,46.1187973185343,11.0924693918551
974,2218,Tilia cordata,12,527.45,23.1,3.71,1.4,0.23,0,0.04,,,16.4,0.08,,0.35,3.8,4,1.2,3,7.1,11.3,0.8,46.1189697618194,11.0923320005676
975,2219,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0,0.09,,,36.8,0.19,,0.67,6.5,4,1.2,4,12.6,25.4,1.9,46.1010909493737,11.1146525483756
976,2220,Tilia platyphyllos,13,559.25,27.9,4.48,1.6,0.25,0.1,0.22,,,92.1,0.47,,0.95,4.2,6,1.8,6,28.3,63.5,3.8,46.1010713137946,11.1144879970809
977,2221,Tilia platyphyllos,10,327.83,15,2.41,1.1,0.18,0,0.06,,,24.7,0.13,,0.36,3,4,1.2,4,12.6,17,1,46.1010614165285,11.1144002843068
978,2222,Tilia platyphyllos,11,486.36,18.8,3.02,1.3,0.2,0.1,0.13,,,56.2,0.29,,0.63,3.4,6,1.8,5,19.6,38.8,2.3,46.1010527385548,11.1143342253303
979,2223,Tilia platyphyllos,16,691.36,45.5,7.3,2.1,0.34,0.1,0.25,,,103.8,0.53,,1.12,5.6,7,2.1,6,28.3,71.5,4.2,46.1010427335052,11.1142523307737
980,2224,Tilia platyphyllos,12,521.29,23.1,3.71,1.4,0.23,0.1,0.21,,,89.5,0.46,,0.9,3.8,6,1.8,6,28.3,61.7,3.7,46.1010327489558,11.1141741891674
981,2225,Tilia platyphyllos,12,521.29,23.1,3.71,1.4,0.23,0,0.04,,,18.7,0.1,,0.37,3.8,5,1.5,3,7.1,12.9,0.8,46.1010219233335,11.1140879936216
982,2226,Tilia platyphyllos,15,644.29,39,6.27,1.9,0.31,0.1,0.19,,,78.1,0.4,,0.9,5.1,7,2.1,6,28.3,53.8,3.2,46.1010123185363,11.1140039149326
983,2227,Tilia platyphyllos,12,521.29,23.1,3.71,1.4,0.23,0,0.08,,,31.8,0.16,,0.47,3.8,6,1.8,4,12.6,21.9,1.3,46.1010028648517,11.1139213946581
984,2228,Tilia platyphyllos,12,521.29,23.1,3.71,1.4,0.23,0,0.09,,,35.9,0.18,,0.5,3.8,6,1.8,4,12.6,24.7,1.5,46.1011057187796,11.1147687827358
985,2229,Tilia platyphyllos,10,327.83,15,2.41,1.1,0.18,0,0.04,,,16.8,0.09,,0.31,3,3.5,1,3,7.1,11.6,0.7,46.1011226795244,11.1148979100202
986,2230,Tilia platyphyllos,10,327.83,15,2.41,1.1,0.18,0,0.04,,,16.8,0.09,,0.31,3,3.5,1,3,7.1,11.6,0.7,46.1011463638693,11.1149604029188
987,2231,Tilia platyphyllos,11,486.36,18.8,3.02,1.3,0.2,0.1,0.11,,,44.1,0.23,,0.54,3.4,5,1.5,5,19.6,30.4,1.8,46.1012002436058,11.1149475847981
988,2232,Tilia platyphyllos,12,521.29,23.1,3.71,1.4,0.23,0,0.03,,,11.1,0.06,,0.31,3.8,3.5,1,2.5,4.9,7.6,0.5,46.1012540740868,11.1149325652329
989,2233,Tilia platyphyllos,10,327.83,15,2.41,1.1,0.18,0,0.06,,,24.7,0.13,,0.36,3,4,1.2,4,12.6,17,1,46.1013074046042,11.1149202435933
990,2234,Tilia platyphyllos,15,644.29,39,6.27,1.9,0.31,0.1,0.14,,,59.5,0.31,,0.76,5.1,5,1.5,5,19.6,41,2.4,46.1013611116351,11.1149070306408
991,2235,Tilia platyphyllos,15,644.29,39,6.27,1.9,0.31,0.1,0.14,,,59.5,0.31,,0.76,5.1,5,1.5,5,19.6,41,2.4,46.1014139264398,11.1148933953799
992,2236,Tilia platyphyllos,15,644.29,39,6.27,1.9,0.31,0.1,0.14,,,59.5,0.31,,0.76,5.1,5,1.5,5,19.6,41,2.4,46.1014675411339,11.1148803082325
993,2237,Tilia platyphyllos,18,794.62,60,9.64,2.4,0.39,0.2,0.38,,,158.2,0.81,,1.59,6.5,7,2.1,7,38.5,109,6.5,46.1015216127083,11.1148668503828
994,2238,Tilia platyphyllos,18,794.62,60,9.64,2.4,0.39,0.2,0.38,,,158.2,0.81,,1.59,6.5,7,2.1,7,38.5,109,6.5,46.1008944332714,11.1130345933311
995,2239,Tilia platyphyllos,16,691.36,45.5,7.3,2.1,0.34,0.1,0.25,,,103.8,0.53,,1.12,5.6,7,2.1,6,28.3,71.5,4.2,46.099902699811,11.1014042528323
