Name,Argentario,Bondone,Centro Storico Piedicastello,Gardolo,Mattarello,Meano,Oltrefesina,Povo,Ravina Romagnano,S. Giusepe – S.Chiara,Sandagna,Villazzano,Total
Spiraea japonica,0,0,0,0,0,0,2,0,0,0,0,0,2
Syringa vulgaris,0,0,0,0,0,0,1,0,0,0,0,0,1
Tamarix gallica,0,0,0,0,0,0,0,0,1,0,0,0,1
Taxodium distichum,0,0,3,6,0,0,3,0,0,0,0,0,12
Taxus baccata,0,0,31,0,0,0,5,0,0,8,0,3,47
Thuja,0,0,4,0,0,0,5,0,0,0,0,0,9
Thuja occidentalis,0,0,0,1,0,0,1,0,0,0,0,0,2
Thuja orientalis,0,0,32,0,0,0,4,0,0,0,0,0,36
Thuja plicata,0,0,0,0,0,0,0,0,0,2,0,0,2
Tilia,0,0,5,6,0,0,10,0,0,2,0,0,23
Tilia cordata,5,9,55,216,6,1,116,1,34,31,0,35,509
Tilia platyphyllos,0,0,17,28,0,0,9,0,5,2,0,0,61
Tilia tomentosa,0,3,0,0,0,0,1,0,0,0,0,0,4
Tilia x euchlora,0,0,0,0,0,0,9,0,0,6,0,0,15
Tilia x europaea,10,28,42,105,5,19,100,16,18,118,0,10,471
Tilia x vulgaris,0,0,0,0,0,0,2,0,0,17,0,0,19
Torreya nucifera,0,0,0,0,0,0,1,0,0,0,0,0,1
Ulmus,0,0,21,0,0,0,25,0,0,4,0,1,51
Ulmus glabra,0,0,8,2,0,0,11,0,1,4,0,0,26
Ulmus laevis,0,0,0,0,0,0,2,0,0,1,0,0,3
Ulmus minor,2,0,13,2,9,1,14,0,0,5,0,0,46
Ulmus pumila,1,0,7,0,0,0,1,0,0,5,0,0,14
Viburnum,0,0,0,0,0,0,2,0,0,0,0,0,2
Viburnum sieboldii,0,0,0,0,0,0,0,0,0,0,0,2,2
Wisteria sinensis,0,0,1,1,2,0,0,0,0,0,0,0,4
Zanthoxylum flavum,0,0,0,0,0,0,1,0,0,0,0,0,1
Zelkova carpinifolia,0,0,5,0,0,0,0,0,0,0,0,0,5
