SpeciesName,ReplacementValue,PollutionRemoval
Robinia pseudoacacia,1666.959,127.779
Salix,1276.853,121.257
Salix alba,2257.53,194.05
Salix babylonica,1299.81,103.211
Salix magnifica,1017.05,62.8
Salix x sepulcralis v. chrysocoma,1017.05,57.95
Sambucus nigra,554.986,24.959
Sequoia sempervirens,1388.49,43.2
Sequoiadendron giganteum,12203.76,364.667
Sophora japonica,1465.318,122.543
Sorbus,663.595,13.609
Sorbus aucuparia,372.023,10.069
Sorbus thuringiaca,4518.858,37.788
Sorbus torminalis,775.007,72.829
Spiraea,1354.8,61.0
Spiraea japonica,1354.8,53.8
Syringa vulgaris,1354.8,86.8
Tamarix gallica,1132.87,16.9
Taxodium distichum,3815.178,147.833
Taxus baccata,2713.881,150.057
Thuja,711.1,30.122
Thuja occidentalis,1341.57,57.9
Thuja orientalis,902.09,60.475
Thuja plicata,953.36,22.9
Tilia,1201.984,172.791
Tilia cordata,1128.796,96.682
Tilia platyphyllos,1753.784,206.562
Tilia tomentosa,260.028,22.875
Tilia x euchlora,862.351,105.88
Tilia x europaea,2277.938,207.175
Tilia x vulgaris,686.443,18.326
Torreya nucifera,2825.1,171.1
Ulmus,4379.89,384.89
Ulmus glabra,5760.73,294.485
Ulmus laevis,2286.327,131.033
Ulmus minor,4824.887,326.626
Ulmus pumila,3483.378,563.757
Viburnum,1354.8,71.1
Viburnum sieboldii,1354.8,66.9
Wisteria sinensis,1354.8,52.4
Zanthoxylum flavum,1354.8,76.7
Zelkova carpinifolia,167.648,3.78
