,Tree ID,Species Name,Oxygen Production
,,,(kg/yr)
,964,Celtis australis,3.70
,973,Prunus cerasifera,20.70
,985,Cupressus,18.70
,986,Cupressus,40.20
,987,Cupressus,52.20
,988,Sorbus,4.70
,989,Sorbus aucuparia,3.90
,1008,Platanus x hispanica,30.30
,1018,Corylus colurna,16.30
,1019,Corylus colurna,23.70
,1038,Prunus serrulata,7.50
,1039,Prunus serrulata,5.20
,1042,Prunus serrulata,11.00
,1043,Prunus serrulata,14.80
,1049,Pyrus calleryana,5.00
,1050,Pyrus calleryana,7.50
,1051,Pyrus calleryana,3.30
,1052,Pyrus calleryana,6.20
,1053,Pyrus calleryana,5.60
,1054,Pyrus calleryana,6.90
,1055,Pyrus calleryana,7.50
,1056,Pyrus calleryana,5.00
,1057,Pyrus calleryana,5.00
,1058,Pyrus calleryana,6.20
,1059,Pyrus calleryana,6.20
,1060,Pyrus calleryana,5.00
,1061,Pyrus calleryana,8.20
,1062,Pyrus calleryana,7.50
,1063,Pyrus calleryana,3.30
,1064,Pyrus calleryana,5.60
,1065,Pyrus calleryana,5.60
,1066,Pyrus calleryana,7.50
,1067,Pyrus calleryana,7.50
,1068,Pyrus calleryana,5.00
,1069,Pyrus calleryana,5.00
,1070,Pyrus calleryana,9.70
,1071,Pyrus calleryana,3.30
,1072,Pyrus calleryana,2.80
,1073,Pyrus calleryana,8.90
,1074,Pyrus calleryana,5.60
,1110,Tilia cordata,6.50
,1111,Tilia cordata,6.50
,1112,Tilia cordata,6.50
,1113,Tilia cordata,6.50
,1114,Tilia cordata,6.50
,1115,Tilia cordata,5.10
,1116,Tilia cordata,5.10
,1117,Tilia cordata,5.10
,1118,Tilia cordata,5.10
,1119,Tilia cordata,7.00
,1120,Tilia cordata,7.00
,1121,Tilia cordata,7.00
,1122,Tilia cordata,4.70
,1123,Acer campestre,4.80
,1124,Tilia cordata,5.10
,1125,Tilia cordata,3.00
,1126,Tilia cordata,6.50
,1127,Tilia cordata,5.10
,1128,Tilia cordata,5.10
,1129,Tilia cordata,5.10
,1130,Tilia cordata,6.50
,1131,Tilia cordata,6.50
,1132,Tilia cordata,2.60
,1133,Tilia cordata,6.00
,1134,Tilia cordata,4.20
,1135,Morus alba,7.80
,1136,Morus alba,7.80
,1137,Morus alba,5.20
,1138,Morus alba,8.70
,1139,Morus alba,5.60
,1140,Morus alba,5.60
,1141,Morus alba,5.60
,1142,Morus alba,5.60
,1143,Morus alba,5.60
,1144,Morus alba,5.60
,1145,Morus alba,6.50
,1146,Morus alba,7.80
,1147,Morus alba,6.50
,1148,Morus alba,6.50
,1149,Morus alba,9.20
,1150,Morus alba,4.40
,1151,Morus alba,11.70
,1152,Tilia cordata,4.20
,1159,Pyrus calleryana,3.90
,1160,Pyrus calleryana,5.00
,1161,Pyrus calleryana,5.00
,1162,Pyrus calleryana,5.00
,1163,Acer pseudoplatanus,3.90
,1164,Carpinus betulus,10.50
,1165,Carpinus betulus,10.50
,1166,Carpinus betulus,10.50
,1167,Carpinus betulus,10.50
,1168,Carpinus betulus,10.50
,1169,Carpinus betulus,10.50
,1170,Carpinus betulus,4.50
,1171,Carpinus betulus,4.50
,1172,Carpinus betulus,4.50
,1173,Carpinus betulus,4.50
,1174,Carpinus betulus,4.50
,1175,Carpinus betulus,1.70
,1176,Carpinus betulus,1.70
,1177,Carpinus betulus,1.70
,1178,Carpinus betulus,1.70
,1179,Carpinus betulus,1.70
,1180,Carpinus betulus,1.70
,1181,Carpinus betulus,1.70
,1182,Carpinus betulus,4.50
,1183,Carpinus betulus,10.50
,1184,Carpinus betulus,4.50
,1185,Carpinus betulus,14.10
,1186,Carpinus betulus,16.20
,1187,Carpinus betulus,4.50
,1188,Carpinus betulus,4.50
,1189,Carpinus betulus,10.50
,1190,Carpinus betulus,4.50
,1191,Carpinus betulus,7.30
,1192,Carpinus betulus,3.00
,1193,Carpinus betulus,3.00
,1194,Carpinus betulus,3.00
,1195,Carpinus betulus,3.00
,1196,Carpinus betulus,3.00
,1197,Carpinus betulus,3.00
,1198,Carpinus betulus,3.00
,1199,Carpinus betulus,3.00
,1200,Carpinus betulus,3.00
,1201,Carpinus betulus,3.00
,1202,Carpinus betulus,3.00
,1203,Celtis australis,2.20
,1204,Celtis australis,2.20
,1205,Celtis australis,2.60
,1206,Celtis australis,3.10
,1207,Celtis australis,2.60
,1208,Celtis australis,2.60
